dataset,baseline,method,dimension,c-level,lr,epoch,lambda,seed,aps-efficiency,aps-coverage,daps-efficiency,daps-coverage
citeseer,ConfMILE,node2vec,128,3,0.02,200,0.1,20,5.137983322143555,0.9181197881698608,5.139499664306641,0.9120545983314514
citeseer,ConfMILE,node2vec,128,3,0.01,200,0.1,20,4.9545111656188965,0.905231237411499,4.869598388671875,0.904473066329956
citeseer,ConfMILE,node2vec,128,3,0.005,200,0.1,20,4.81349515914917,0.8786959648132324,4.8377556800842285,0.8794541358947754
citeseer,ConfMILE,node2vec,128,3,0.001,200,0.1,20,4.73616361618042,0.8931008577346802,4.755117416381836,0.8961334228515625
citeseer,ConfMILE,node2vec,128,3,0.02,200,0.3,20,5.154662609100342,0.8968915939331055,5.190295696258545,0.8991660475730896
citeseer,ConfMILE,node2vec,128,3,0.01,200,0.3,20,5.175890922546387,0.8968915939331055,5.199393272399902,0.8968915939331055
citeseer,ConfMILE,node2vec,128,3,0.005,200,0.3,20,5.062168121337891,0.9166035056114197,5.0447306632995605,0.9120545983314514
citeseer,ConfMILE,node2vec,128,3,0.001,200,0.3,20,4.77862024307251,0.8915845155715942,4.887794017791748,0.8984078764915466
citeseer,ConfMILE,node2vec,128,3,0.02,200,0.5,20,5.07733154296875,0.8938589692115784,5.105382919311523,0.8961334228515625
citeseer,ConfMILE,node2vec,128,3,0.01,200,0.5,20,5.227445125579834,0.9128127098083496,5.088703632354736,0.9014405012130737
citeseer,ConfMILE,node2vec,128,3,0.005,200,0.5,20,4.96512508392334,0.8923426866531372,4.997725486755371,0.8946171402931213
citeseer,ConfMILE,node2vec,128,3,0.001,200,0.5,20,4.995450973510742,0.8984078764915466,4.959817886352539,0.8984078764915466
citeseer,ConfMILE,node2vec,128,3,0.02,200,0.7,20,5.012888431549072,0.8847611546516418,5.087945461273193,0.8953753113746643
citeseer,ConfMILE,node2vec,128,3,0.01,200,0.7,20,4.939348220825195,0.887793779373169,4.948445796966553,0.8885519504547119
citeseer,ConfMILE,node2vec,128,3,0.005,200,0.7,20,4.843821048736572,0.8824867606163025,4.874905109405518,0.8794541358947754
citeseer,ConfMILE,node2vec,128,3,0.001,200,0.7,20,5.019711971282959,0.8847611546516418,5.029567718505859,0.887035608291626
citeseer,ConfMILE,node2vec,128,3,0.02,200,0.9,20,5.170583724975586,0.887793779373169,5.187263011932373,0.8809704184532166
citeseer,ConfMILE,node2vec,128,3,0.01,200,0.9,20,5.137983322143555,0.8984078764915466,5.095526695251465,0.8999241590499878
citeseer,ConfMILE,node2vec,128,3,0.005,200,0.9,20,5.093252658843994,0.8938589692115784,5.107657432556152,0.9021986126899719
citeseer,ConfMILE,node2vec,128,3,0.001,200,0.9,20,5.259287357330322,0.9143290519714355,5.226686954498291,0.9173616170883179
citeseer,ConfMILE,node2vec,128,3,0.02,200,0.99,20,5.295678615570068,0.8794541358947754,5.266110897064209,0.872630774974823
citeseer,ConfMILE,node2vec,128,3,0.01,200,0.99,20,5.301743507385254,0.905989408493042,5.288855075836182,0.9014405012130737
citeseer,ConfMILE,node2vec,128,3,0.005,200,0.99,20,5.3699774742126465,0.8931008577346802,5.443517684936523,0.9075056910514832
citeseer,ConfMILE,node2vec,128,3,0.001,200,0.99,20,5.589082717895508,0.9150871634483337,5.583017349243164,0.905989408493042
citeseer,ConfMILE,node2vec,128,3,0.02,500,0.1,20,5.231994152069092,0.8984078764915466,5.208491325378418,0.8961334228515625
citeseer,ConfMILE,node2vec,128,3,0.01,500,0.1,20,5.175890922546387,0.9150871634483337,5.11675500869751,0.9067475199699402
citeseer,ConfMILE,node2vec,128,3,0.005,500,0.1,20,5.109931945800781,0.8946171402931213,5.1432905197143555,0.9006823301315308
citeseer,ConfMILE,node2vec,128,3,0.001,500,0.1,20,4.881728649139404,0.9090219736099243,4.890826225280762,0.9105383157730103
citeseer,ConfMILE,node2vec,128,3,0.02,500,0.3,20,5.2160725593566895,0.9082638621330261,5.140257835388184,0.9014405012130737
citeseer,ConfMILE,node2vec,128,3,0.01,500,0.3,20,5.049279689788818,0.8984078764915466,4.981046199798584,0.8931008577346802
citeseer,ConfMILE,node2vec,128,3,0.005,500,0.3,20,5.1607279777526855,0.905989408493042,5.125853061676025,0.9021986126899719
citeseer,ConfMILE,node2vec,128,3,0.001,500,0.3,20,5.016679286956787,0.8961334228515625,5.166034698486328,0.9120545983314514
citeseer,ConfMILE,node2vec,128,3,0.02,500,0.5,20,5.041698455810547,0.9029567837715149,5.028051376342773,0.9006823301315308
citeseer,ConfMILE,node2vec,128,3,0.01,500,0.5,20,5.319939136505127,0.9173616170883179,5.492039203643799,0.9363154172897339
citeseer,ConfMILE,node2vec,128,3,0.005,500,0.5,20,5.0644426345825195,0.9014405012130737,5.019711971282959,0.8961334228515625
citeseer,ConfMILE,node2vec,128,3,0.001,500,0.5,20,5.00758171081543,0.8953753113746643,5.063684463500977,0.904473066329956
citeseer,ConfMILE,node2vec,128,3,0.02,500,0.7,20,5.147080898284912,0.9090219736099243,5.227445125579834,0.9120545983314514
citeseer,ConfMILE,node2vec,128,3,0.01,500,0.7,20,4.987111568450928,0.8885519504547119,4.942380428314209,0.8809704184532166
citeseer,ConfMILE,node2vec,128,3,0.005,500,0.7,20,4.918878078460693,0.8915845155715942,4.917361736297607,0.8809704184532166
citeseer,ConfMILE,node2vec,128,3,0.001,500,0.7,20,5.110690116882324,0.8984078764915466,5.060651779174805,0.8999241590499878
citeseer,ConfMILE,node2vec,128,3,0.02,500,0.9,20,5.056861400604248,0.8756633996963501,5.141016006469727,0.8817285895347595
citeseer,ConfMILE,node2vec,128,3,0.01,500,0.9,20,5.174374580383301,0.9105383157730103,5.181955814361572,0.9150871634483337
citeseer,ConfMILE,node2vec,128,3,0.005,500,0.9,20,5.346474647521973,0.9097801446914673,5.346474647521973,0.9105383157730103
citeseer,ConfMILE,node2vec,128,3,0.001,500,0.9,20,5.424563884735107,0.9120545983314514,5.440485000610352,0.9150871634483337
citeseer,ConfMILE,node2vec,128,3,0.02,500,0.99,20,5.190295696258545,0.8999241590499878,5.192570209503174,0.9021986126899719
citeseer,ConfMILE,node2vec,128,3,0.01,500,0.99,20,5.463229656219482,0.9143290519714355,5.496588230133057,0.9128127098083496
citeseer,ConfMILE,node2vec,128,3,0.005,500,0.99,20,5.344958305358887,0.8999241590499878,5.325246334075928,0.9082638621330261
citeseer,ConfMILE,node2vec,128,3,0.001,500,0.99,20,5.115996837615967,0.904473066329956,5.144806861877441,0.9105383157730103
citeseer,ConfMILE,node2vec,128,3,0.02,1000,0.1,20,5.297953128814697,0.9211524128913879,5.269901275634766,0.9188779592514038
citeseer,ConfMILE,node2vec,128,3,0.01,1000,0.1,20,5.1228203773498535,0.9112964272499084,5.203184127807617,0.9128127098083496
citeseer,ConfMILE,node2vec,128,3,0.005,1000,0.1,20,4.985595226287842,0.8786959648132324,5.024260997772217,0.8847611546516418
citeseer,ConfMILE,node2vec,128,3,0.001,1000,0.1,20,5.128127574920654,0.9150871634483337,5.034116744995117,0.9029567837715149
citeseer,ConfMILE,node2vec,128,3,0.02,1000,0.3,20,6.0,1.0,5.313116073608398,0.9211524128913879
citeseer,ConfMILE,node2vec,128,3,0.01,1000,0.3,20,6.0,1.0,5.205458641052246,0.9150871634483337
citeseer,ConfMILE,node2vec,128,3,0.005,1000,0.3,20,5.321455478668213,0.9287338852882385,5.212282180786133,0.9029567837715149
citeseer,ConfMILE,node2vec,128,3,0.001,1000,0.3,20,5.001516342163086,0.8824867606163025,5.003790855407715,0.8961334228515625
citeseer,ConfMILE,node2vec,128,3,0.02,1000,0.5,20,5.218347072601318,0.904473066329956,5.222137928009033,0.904473066329956
citeseer,ConfMILE,node2vec,128,3,0.01,1000,0.5,20,6.0,1.0,6.0,1.0
citeseer,ConfMILE,node2vec,128,3,0.005,1000,0.5,20,5.230477809906006,0.9158453345298767,5.1607279777526855,0.9105383157730103
citeseer,ConfMILE,node2vec,128,3,0.001,1000,0.5,20,5.060651779174805,0.9014405012130737,5.0856709480285645,0.9037149548530579
citeseer,ConfMILE,node2vec,128,3,0.02,1000,0.7,20,5.012130260467529,0.8946171402931213,5.009097576141357,0.8999241590499878
citeseer,ConfMILE,node2vec,128,3,0.01,1000,0.7,20,6.0,1.0,6.0,1.0
citeseer,ConfMILE,node2vec,128,3,0.005,1000,0.7,20,6.0,1.0,6.0,1.0
citeseer,ConfMILE,node2vec,128,3,0.001,1000,0.7,20,5.013646602630615,0.9021986126899719,4.951478481292725,0.8915845155715942
citeseer,ConfMILE,node2vec,128,3,0.02,1000,0.9,20,5.301743507385254,0.9325246214866638,4.950720310211182,0.9021986126899719
citeseer,ConfMILE,node2vec,128,3,0.01,1000,0.9,20,5.171341896057129,0.9006823301315308,5.321455478668213,0.919636070728302
citeseer,ConfMILE,node2vec,128,3,0.005,1000,0.9,20,5.111448287963867,0.9021986126899719,5.086429119110107,0.9075056910514832
citeseer,ConfMILE,node2vec,128,3,0.001,1000,0.9,20,5.2736921310424805,0.9249431490898132,5.170583724975586,0.9112964272499084
citeseer,ConfMILE,node2vec,128,3,0.02,1000,0.99,20,6.0,1.0,5.585291862487793,0.9302501678466797
citeseer,ConfMILE,node2vec,128,3,0.01,1000,0.99,20,5.284306526184082,0.904473066329956,5.398787021636963,0.9158453345298767
citeseer,ConfMILE,node2vec,128,3,0.005,1000,0.99,20,5.264594554901123,0.8824867606163025,5.282032012939453,0.890826404094696
citeseer,ConfMILE,node2vec,128,3,0.001,1000,0.99,20,5.148597240447998,0.8688400387763977,5.226686954498291,0.8847611546516418
